UBL,NAME,BASIS,AP,GP,KP,PP,22.03.07_06:00
1,TheBunman,koroshiya,1710,1710,0.00,0
2,hanzdooom,Swamp,76698,138765,6206.68,6697
3,deepdarkdusk,KsudKradPeed,87906,90768,286.20,25007
4,Hazelord,Ogdenville,287975,335887,4791.18,19389
5,Luke likes lemon,Isengart,27428,38570,1114.19,72936
6,Mampf,Suppenkueche,87482,90686,320.40,76151
8,Bambam,Knüppelkiste,110103,113755,365.20,16642
9,FhearFux,home of the wise guys,243643,359740,11609.77,27415
10, Kenny,Kenny`s Home,119331,149586,3025.45,82267
13,duress,duress,45481,68755,2327.40,10207
17,MrCari,Gratkorn,403652,406112,246.00,13345
18,Cailleach,Tehuan,121714,127593,587.90,46413
19,Stan,Stan`s Base,66027,110649,4462.12,28308
20,Capere,Capere,40273,56217,1594.35,2815
25,Save-Basis,Alpha,0,0,0.00,0
32,araneae,Barad Dur,56594,59508,291.45,23475
37,asdf,beat,47435,75655,2822.05,6742
61,div0sidekick,sidekick,70411,87366,1695.50,24859
62,Bart,Camp Krusty,305055,512026,20697.11,37875
67,DonCarlos,uwe_headquarter,75783,75783,0.00,149642
77,Chatfreakxy,Robela,49807,49807,0.00,5705
86,test,cool,39765,85735,4596.95,10205
187,Save-Basis,Beta,0,0,0.00,0
226,Kleinhirn,Basis,60707,60803,9.60,58289
250,Tivoyagefreak,Residenthall,108666,120792,1212.60,110767
290,g0a,bash,94889,124929,3003.98,136984
308,GGK,Geierhorst,366709,497927,13121.72,75619
318,Qeravi,HochburgDerVerklatschten,33045,38005,496.00,26765
351,Basti,Heimatbasis,89018,112023,2300.55,26289
352,Zinken,Home,65257,65257,0.00,9106
400,Maaski,Sku,44953,44953,0.00,1220
434,Save-Basis,Gamma,0,0,0.00,0
454,kacknoob,noob_basis,54210,56293,208.30,9739
465,Elvis,Nubeatz,84592,96959,1236.70,44829
490,General Hammer,Wursthausen,366133,436461,7032.80,117791
496,ReaperIII,Alpha Basis,7453,7453,0.00,900
499,Cabal,NOD,80599,84078,347.90,-14307
502,MasterKe,ChroKaSa,28646,39231,1058.50,3489
507,Cartman,Cartman`s Home,209045,677128,46808.30,188725
520,george23w,Washington DC,289237,380805,9156.75,15300
532,Save-Basis,Delta,0,0,0.00,0
539,Lord,Castle Wolfenstein,373682,442965,6928.28,0
589,Mr Shankly,Klitsche (MH 2),215704,215704,0.00,124120
591,Nuklear,deathstar,30355,30355,0.00,0
600,kingmibo,Heavens gate,51347,54102,275.50,33400
666,Nemesis,Schwarmcluster,542324,604536,6221.20,0
669,noob,twister,38554,40809,225.55,30863
670,freak,   ,43045,59605,1656.05,16420
671,jackomo,jackomo,31919,31919,0.00,0
718,tkul,Stalingrad,46301,168413,12211.17,16461
766,Save-Basis,Epsilon,0,0,0.00,0
779,Schuppenkarpf,Seebucht,14731,16387,165.60,490
793,DeadByNow,N.E.R.V.,99250,120501,2125.10,31927
800,Candy Man,Süßwarenladen,9580,20512,1093.18,240
816,Sick4hate,Das Bundy Haus,56457,56457,0.00,12806
817,DickeBerta,Pump It!,45429,45429,0.00,29918
819,myTomorrow,O-Town,58963,58963,0.00,8718
832,Lurch,Sumpf,9610,11104,149.45,500
