UBL,NAME,BASIS,AP,GP,KP,PP,19.10.08_06:00
1,Bambam,Knüppelkiste,367882,441789,7390.75,42227
4,Hazelord,Ogdenville,602713,602713,0.00,19389
9,FhearFux,home of the wise guys,600043,763533,16348.92,83935
17,MrCari,Gratkorn,2015010,2019050,404.00,13345
18,Cailleach,Tehuan,145251,154772,952.10,46413
25,Save-Basis,Alpha,0,0,0.00,0
187,Save-Basis,Beta,0,0,0.00,0
308,GGK,Geierhorst,1032100,1253185,22108.54,125059
434,Save-Basis,Gamma,0,0,0.00,0
532,Save-Basis,Delta,0,0,0.00,0
742,sanake,fort knox,297401,317578,2017.70,242509
766,Save-Basis,Epsilon,0,0,0.00,0
779,Schuppenkarpf,Seebucht,49246,56092,684.60,490
800,Candy Man,Süßwarenladen,49030,62041,1301.18,240
816,Sick4hate,Das Bundy Haus,357640,357640,0.00,109266
832,Lurch,Sumpf,49778,54073,429.45,500
976,Save-Basis,Delta-Delta,0,0,0.00,0
1020,george23w,Washington DC,794439,873916,7947.65,116300
1021,Save-Basis,Zeta,0,0,0.00,0
1064,F N A,LP-Tower,203670,242913,3924.30,19882
1083,Save-Basis,Eta,0,0,0.00,0
1125,kingmibo,Heavens gate,260670,293741,3307.15,83350
1214,Streuner,Pogohausen,170483,362898,19241.52,154167
1249,Spueli,Spueli,260313,264391,407.80,173097
1254,GeneralHammond,Probbach,344827,346673,184.65,43337
1267,Jimmi,Europe,2424348,2587962,16361.44,62966
1380,Trenck,Stalingrad,132496,173591,4109.50,30799
1393,Scratchie,Scr4tchi3l4nd,246818,693539,44672.03,32021
1400,Maaski,Sku,267884,285658,1777.40,-2959
1412,triplesoul,Neocon ,290285,352507,6222.15,82930
1441,speed1302,Homebase,184587,232104,4751.65,90153
1463,lord of dead,dead,813925,1179193,36526.86,143617
1464,KillerQueen,Saila,356863,357763,90.00,118624
1470,Xorn,BlackPoint,284091,316853,3276.18,70427
1488,django,Irrenhaus,419201,471837,5263.65,188710
1489,rAv3n,B@sHb@s3,959102,2637262,167816.00,-18078
1490,lordpaycroft,Décharge Sauvage,270233,270388,15.50,9465
1512,Murx,Surf,785434,1609030,82359.64,33358
1548,Mr t,The Rock,305288,304163,-112.50,23904
1645,HotIceBear,Eishölle,887261,2641473,175421.23,89893
1933,Grossfuerst,Germania,223271,229152,588.10,333510
2026,Gorsch,Hallundra,375028,383068,804.00,12277
2041,Macroclemys,DAKAR,318322,626379,30805.65,80932
2086,Minifuzzi,Großes Haus,235426,238226,280.00,7659
2089,Yuri,\m/(-.-)\m/,33928,33928,0.00,200
2147,Tooheyz,Tooheyz,202912,203918,100.60,13578
2161,Blackhawk,KontinentX,69451,69451,0.00,59965
2166,Budweiser,Budvar,149726,169643,1991.64,8441
2168,skywalker,galaxy,71364,428559,35719.42,0
2251,Mop,mopshausen,129043,157389,2834.65,52010
2257,Europa,Deutschland,185489,185489,0.00,56376
2259,Monte,Prag,63225,113058,4983.30,0
2469,REX,noobschutz,119611,138756,1914.55,135650
2474,NEO,Matrix,157191,162457,526.55,7649
2475,Morpheus,LIMA,155521,155521,0.00,15253
2487,Trior58,X-Ray,134643,134643,0.00,20229
2495,Punisher,Mordor,440091,705255,26516.45,23654
2506,reder,112,68654,78596,994.15,0
2525,Fuschi,Juniorsgro?erTag,10291,189680,17938.88,4430
2537,CommanderTom,Area96,47145,53715,657.00,0
2540,Ill Nino,third base,330893,370467,3957.41,108794
2545,Calculon,Duchovny,67712,166745,9903.28,19732
2556,bizzy1,guantanamo bay,40779,72005,3122.60,0
2565,Thrym,the psyklon aeon,48237,1077131,102889.45,16712
2660,DrNo,World,69247,63267,-598.00,0
2677,binome,suche einen clan,33128,33128,0.00,0
2683,frauenarzt,Germania,108160,134223,2606.30,54453
2756,schmiddl1977,Festung,93766,94347,58.15,0
2775,Keinheld,Hauptquatier MA,3055,3055,0.00,0
2788,THD,Thönse,21856,21890,3.40,500
2800,Gino,Ginoland,28167,28167,0.00,1428
2814,BBluemchen,Zoo,38030,153060,11502.96,3450
2819,Hinterhaxe,Tschodda,48088,98119,5003.05,16565
2825,Bartman2008,Walhalla,40399,41370,97.10,4200
2844,Mattis,Aeria 51,10011,11601,158.94,0
2850,nummer2,Cuba,26971,30776,380.45,109
2853,Sir Henry Morgan,Spelunke,4496,4496,0.00,1900
2876,Orlan,Desaster Area,923593,954821,3122.85,73330
2928,Walther Nehring,Merseburg,7607,7607,0.00,1561
2929,Brumm,Berlin,12007,12621,61.40,0
2943,Chaaaka,YO HOMIZ,7709,7778,6.90,0
2944,BabyGeneral,Babystation,153,153,0.00,0
2947,1337845h0r,Terra Nola,12091,12091,0.00,2192
2957,orphanium,detroy island,203,1043,84.06,0
2967,Van Bob,Bob Haus,7775,12466,469.10,164
2969,GeneralPapa,Burg Wulfenstein,770,901,13.04,0
2970,Darlaten2,big pfill,1168,1168,0.00,0
2971,mafreitag,Marco,339,339,0.00,0
2974,s3ns3,tester,211,263,5.20,0
2979,bloodydon,Roflkopter,27,27,0.00,0
2980,masda,Hammerfest,26,26,0.00,0
2981,SunDoWn,Weinheim-West,17,17,0.00,0
2982,dicker82,dicker,27,27,0.00,0
2983,rafpunk,Basis Lager xD,3085,3085,0.00,0
2984,Sweety76,julian,17,17,0.00,0
2985,Pozega,Pozega,17,17,0.00,0
2986,dasnoobigste,ocin,17,17,0.00,0
2987,Player1238,HabtGnade ,17,17,0.00,0
2988,m4ster G,xaktik,17,17,0.00,0
2989,kory,kory,17,17,0.00,0
2990,Robax,Tessin,22,22,0.00,0
2991,kevinsachs,kev,21,21,0.00,0
2992,romano84,romano84,17,17,0.00,0
2993,gaz,Ajur,22,22,0.00,0
2994,blood7,Q-34-65-X,48,48,0.00,0
2995,Paranoid,Paranoid Base,675,910,23.54,0
2996,Speedy,Black Panther,69,69,0.00,0
2997,Kalvin,Neukölln,22,22,0.00,0
3000,Ajax,Fanta,17,17,0.00,0
3003,chrissyboy,Evil,359,359,0.00,0
3004,marco de king,n-9-n-9,27,27,0.00,0
3005,Tristan,Tristan,312,312,0.00,0
3006,sasch93,-=Stormhous=-,17,17,0.00,0
3007,jau07,Unzerstörbar,17,17,0.00,0
3008,Sniiper,_Data_Base,22,22,0.00,0
3009,Devastor,Berlin,17,17,0.00,0
3010,MarvCraft,Marvin,23,23,0.00,0
3011,Kev5454,Heinsberg,41,41,0.00,0
