UBL,NAME,BASIS,AP,GP,KP,PP,12.04.06_12:00
1,TheBunman,koroshiya,1338,1445,10.70,-373075
3,deepdarkdusk,KsudKradPeed,18674,18674,0.00,14599
4,Hazelord,Ogdenville,49626,65203,1557.68,13669
5,Luke likes lemon,Der Kindergarten,7231,11584,435.29,3886
6,Mampf,Suppenkueche,15190,16165,97.50,19867
7,Cartman,Cartman`s Home,12055,19025,697.00,2703
8,Bambam,Knüppelkiste,19610,22323,271.30,4082
9,FhearFux,home of the wise guys,47621,82676,3505.52,7515
10, Kenny,Kenny`s Home,14881,19916,503.50,3085
11,Tigger,Venlo,17121,42601,2548.00,4002
12,Mento,Kombetmortal,13237,13305,6.80,0
13,duress,duress,6700,6746,4.60,692
17,MrCari,Gratkorn,41789,41789,0.00,10295
18,Cailleach,Tehuan,28805,29923,111.80,15421
19,Stan,Stan Base,11675,20342,866.70,4254
20,Capere,Capere,2730,2730,0.00,0
25,Save-Basis,Alpha,0,0,0.00,0
26,Orlan,Plasmania,30317,43414,1309.70,29869
27,hanzdooom,Swamp,20549,59993,3944.38,3778
30,molocho,schnapsladen,24000,31978,797.80,5617
31,Baldur,Tsunami,12564,12935,37.10,650
32,araneae,Barad Dur,11919,11919,0.00,4195
37,asdf,beat,5528,5528,0.00,100
40,devel22,Alfa Zentauri,14327,14877,55.00,9180
42,wkwen,GSG9-Base,8606,8606,0.00,1791
52,sstriker,Plasma-city,13190,16458,326.75,13958
54,Casanunda,TCX33897,8976,11778,280.20,0
59,EviLdachdach,FUCK OFF,105,174,6.90,0
61,div0sidekick,sidekick,6438,8090,165.20,566
65,Murx,Suff,31204,62401,3119.69,4603
67,DonCarlos,uwe_headquarter,13232,13507,27.50,16946
68,General Hammer,Wursthausen,26660,55749,2908.88,2307
74,Plastikman929,Plastikman,1478,1478,0.00,0
82,Blonder Kalle,Kampflager,1293,1293,0.00,0
85,Elvis,Nubeatz,11937,15246,330.90,6565
86,test,cool,3479,3479,0.00,0
96,g0a,bash,21471,46495,2502.41,4075
97,camper,camper´s haus,5881,6407,52.60,6137
98,N3oL3C,Achtung Minen,1989,1989,0.00,0
109,Commander,Outland_Germany,7229,7229,0.00,4265
120,Thomas92,Anfänger,3368,3449,8.10,0
133,Stauffenberg,Wolfschanze,1406,1440,3.40,0
138,Heilsbringer,My castle,7032,7032,0.00,278
141,Darth Malak,Hauptstützpunkt,372,981,60.90,0
151,sense,test,7610,7610,0.00,150
153,Grammophon,Vinyl,6850,8667,181.70,0
157,NoWayKnight,NoWayOut,38144,38144,0.00,8925
158,Edelborngangster,Edelborn,15324,15324,0.00,0
160,fermin,fermin,2325,2325,0.00,0
187,Save-Basis,Beta,0,0,0.00,0
188,Queen Mum,Radio Fuckingham,6955,27542,2058.78,1660
213,Captain Morgan,La Isla Alka,17357,31968,1461.11,1600
216,lordy,Karthago,5140,5140,0.00,0
226,Meru,Erfurt,7723,9510,178.76,1241
228,Tammo,Fortuna,7201,7201,0.00,947
231,aal,Multitudo,3440,3440,0.00,790
232,sleker,schlachtfeld,805,805,0.00,60
234,Wisler,Wislers Basis,11386,11386,0.00,0
237,Snark,Propezia,15417,15417,0.00,7864
244,Effan,Reich der Onkelz,10715,21140,1042.54,5060
250,Tivoyagefreak,Residenthall,11688,14356,266.80,4917
251,darealthuene,Metropolis,5863,5863,0.00,0
258,cracknigga,Homezone,7189,7189,0.00,172
259,Drill,Pleasness Place,320,320,0.00,0
282,crasy sido,XD,5223,5223,0.00,5765
284,Elrad,MyBase,2643,2643,0.00,0
285,Xrazy,Vault X,3306,3612,30.60,0
288,Yurinator,Das 4. Reich 2,1266,1266,0.00,0
289,schweineschwabe,burladingen,6160,6160,0.00,0
292,Steiner1,Bunker der ausergewöhnlichen Kämpfer,4871,4871,0.00,0
296,BACKHoeRNCHEN,humadumpa,4211,4211,0.00,-2
307,alex1,dark castle,3036,3038,0.20,0
313,Wotan,Walhalla,615,615,0.00,0
314,Barney,Moe`s Taverne,33888,82589,4870.06,16284
318,Qeravi,HochburgDerVerklatschten,7168,7536,36.80,95
327,MacArthur,42. US-Division,11505,27099,1559.40,1085
330,ARMYofDC,ARMYofDC,8484,8484,0.00,0
333,DrJoker,Alcatraz,15677,26572,1089.55,6675
338,MasterKe,MasterKe,40,40,0.00,0
339,SirMax,SirMax,5317,5317,0.00,0
341,Homer,Springfield,31309,125211,9390.25,14393
342,big fish,Wasserloch,9378,9378,0.00,13611
350,gaja,IKG131173512,12383,12383,0.00,530
376,Sword,ZeroEnna,3231,3231,0.00,0
382,Cabal,Wolga,22826,26358,353.25,115
386,Silenius,Noa´s heim,31368,88974,5760.58,722
396,Eduard,Warriors Base,4285,4547,26.20,170
397,Salvador Dali,Stargate Center,2252,2252,0.00,0
398,KingKong,Affeninsel,2453,2453,0.00,0
414,Slayer,Queen 1,4698,3690,-100.80,0
420,Lord Fragga,Spinnes Weltherrschaft,1381,1676,29.54,0
424,Penis,Bahnhof Zoo,13754,19199,544.50,12255
429,Barnabas,Euskadi,2112,2487,37.50,0
430,C4,Sprengstofflager,3828,4752,92.42,732
431,Tiger,Tigerbase,2827,2827,0.00,0
434,Save-Basis,Gamma,0,0,0.00,0
436,nigthhawk,Alte Brigade,6006,43620,3761.46,1900
437,PoTHEad,Smoke Base,8983,18018,903.54,11050
441,terra,Brauerei,47220,61494,1427.39,19404
444,EvilKnievel,EvilBase1,4144,4144,0.00,780
454,kacknoob,noob_basis,5277,7113,183.60,1006
455,The Bunman,Koroshiya,1326,1326,0.00,0
456,The King of Rock,Rock Village,7798,15584,778.62,0
476,Yen,K4MiK4zZz3,41533,119545,7801.15,192765
478,GGK,Geierhorst,73073,104326,3125.25,26279
487,Sualc,Ostfriesland,4103,4103,0.00,0
488,Der,Der gierigste Geier,7346,7346,0.00,0
489,Basti,Heimatbasis,6041,16648,1060.70,2351
490,Bart,Camp Krusty,59075,99778,4070.26,7075
493,BaggerBob89,Reich der Onkelz,7560,18542,1098.20,1661
495,noa,garden of eden,17136,17136,0.00,3820
497,FINSTERNIS,ASGARD,17559,65471,4791.15,12970
498,Jacky,Karkand,676,676,0.00,0
500,killer xxx,speedster turbo,4353,4402,4.92,1620
501,Shockwave,Alpha Gelschti,7696,84480,7678.43,11483
504,Zander,Synagoge,1836,1836,0.00,844
506,Kleinhirn,Basis,5865,5970,10.50,2165
508,Turisas,Sturmfagel,500,500,0.00,0
510,pinky,Lenny-Land,1712,1738,2.60,0
515,Andre,Andre M.,3723,3723,0.00,0
516,TheKiller,easter basin,2339,2701,36.20,100
520,george23w,Washington DC,91121,125861,3474.05,0
522,kIlLeR bOOyY,¥€$,7703,11189,348.59,8295
523,Team Amerika,Pearl Harbour,4874,4874,0.00,1650
524,kackn00b,Brauerei,17320,22763,544.30,22478
531,Shogun,authority,6067,6067,0.00,0
532,Save-Basis,Delta,0,0,0.00,0
536,Zinken,Home,4560,4560,0.00,0
538,kissmat,kissmat,2129,2129,0.00,0
539,Lord,Castle Wolfenstein,61951,85200,2324.98,0
542,koelle779,Colonia,3064,3064,0.00,0
543,Azrael,Hellsgate,3704,7274,357.04,4541
547,LOD,Altach,3086,3086,0.00,0
548,minime,mini-basis,3135,3135,0.00,0
551,tkul,Stalingrad,4342,10467,612.55,2903
552,Adi,Moskva,6422,7753,133.10,448
553,victor ru,Killer15,4799,4867,6.80,0
554,Halo,Reach,3476,3848,37.20,0
560, Netzahualcoyotl,Mexico,63,63,0.00,0
566,ReaperIII,Delta Basis,1096,1096,0.00,0
569,DarkIII,Darksland,3685,3685,0.00,0
570,MasterofDarkness,Drakonien,7005,7005,0.00,0
575,Freia,Fort Ranik,4063,4063,0.00,0
579,umzcompany,Company Castle,307,307,0.00,0
582,Pyr0,Fort Free Heaven,1463,1463,0.00,0
589,Mr Shankly,Klitsche,103458,126713,2325.49,9780
590,Curtain,CURTAIN,17123,15432,-169.10,0
591,Nuklear,deathstar,2906,2906,0.00,0
592,Zalog,Zalog,4763,4821,5.80,0
593,CrimeKiller,AngelHeart,1849,1849,0.00,0
600,kingmibo,Heavens gate,7047,8008,96.12,2290
602,Deathwing,moria,1855,1855,0.00,0
612,panzerdivision,Unterwelt,2177,2177,0.00,209
613,Fierfighter112,Fierstation,31,-229,-26.00,0
614,rAv3n,B@sHb@s3,31025,126753,9572.83,1898
615,Chatfreakxy,Robela,2991,3239,24.80,0
620,Unique,Asgard,1820,1820,0.00,0
625,benny123456,LONSDALE,578,578,0.00,0
627,Tropper11,Dropiland,7904,12892,498.84,6058
628,Jogi1112,Jogi,857,857,0.00,0
630,Dragonheart,Curtain\`s Home,27945,35313,736.75,0
636,easy,rambobase,2989,3476,48.66,1735
638,Iron,weimar ,3552,3552,0.00,0
639,Der Hai,The New,112,112,0.00,0
642,Godfather,LongBeach,29664,29664,0.00,0
643,Hellsraiser,Bödexen,2032,2032,0.00,0
644,Crazydog,Doghouse,298,350,5.20,0
647,peppe,sun,2779,2779,0.00,0
649,schultz,bier,4549,5117,56.80,375
651,Harry Hirsch,Hirschhausen,226,226,0.00,0
660,Michaelangelus,Kobern-Gondorf,5867,5867,0.00,206
661,xXxXx,xXxXx,2030,2030,0.00,0
663,DrunkenHamster,Hamsterbau,22360,124548,10218.73,13096
665,Sc4rF4ce,M.c.K,3402,3402,0.00,0
666,Muemmel,New Heaven,2680,2773,9.30,0
667,DeadByNow,N.E.R.V.,6303,7808,150.50,1603
669,noob,twister,2404,2404,0.00,0
670,freak,   ,2391,2391,0.00,0
671,Black Eagle,Wolfenstein,6309,6413,10.40,0
673,Pusher,Pusher´s_Place,8947,41519,3257.22,2545
675,Dod,Kleid aus Rosen,1054,1054,0.00,0
682,Dark Lord,Death Angel,1957,1957,0.00,0
685,Mendoza,Mendoza,1536,1536,0.00,0
686,Jonny007,Everglades,2724,2724,0.00,425
687,bully05,Petzen,2522,2522,0.00,0
693,MK,Boundsheer,266,266,0.00,0
694,macher2006,bigi1,4692,6708,201.60,225
695,vortex,vortex home,5521,11860,633.90,187
700,Mazda,Mazda Händler,1585,1585,0.00,0
702,Hunter,Shelter,1733,1817,8.40,0
706,Nemesis,Schwarmcluster,108982,142027,3304.52,0
708,BigSpawn,Hellbase,3899,3899,0.00,3290
709,Hellboy1991,DJZONE,126,126,0.00,0
710,Fury,Aldens,17,17,0.00,0
711,xxx86,TodesStern,719,719,0.00,0
713,Firststrike,Syndicates,460,460,0.00,0
714,BlackDown,Coolman,2410,2410,0.00,0
717,Trust78,Ostmark,979,979,0.00,0
721,Darcron,Cypress Hill,24,24,0.00,0
722,Gorsch,Hallundra,2989,3110,12.12,0
723,Meisterkoeder,Fischerhütte,353,353,0.00,0
729,mh89,AntiAmerica,110,144,3.40,0
733,Skorpion,House of god,46,46,0.00,0
734,yeay,yeaybase,551,551,0.00,0
735,high,highbase,143,143,0.00,0
736,alki,alkibase,817,817,0.00,355
737,Bachforelle,Fischteich,7746,7746,0.00,725
749,Selecta,Yardhouse,262,262,0.00,0
751,ich11,ich^^,39,39,0.00,0
752,Waller,Wassertümpel,3299,6247,294.86,562
753,General Nordmann,MöÖöP,2442,5914,347.24,0
756,Max007,UnderControl,7347,23153,1580.62,6385
757,Anarcho,Rathausplatz,1576,1813,23.70,0
758,Riky,Lachsheim,5951,18042,1209.12,3490
760,Daywalker49,Blade,5097,11146,604.90,1728
762,Jesco,Rom,6530,10730,420.00,1515
764,hansdieter,hansdieter,2609,2609,0.00,0
765,Odin,Gladsheim,1915,1915,0.00,0
766,Save-Basis,Epsilon,0,0,0.00,0
770,Seahawk,Unkelbach,887,887,0.00,0
771,z1,Z1,48,48,0.00,0
774,Cone,Alphatown,17,17,0.00,0
776,highsenatra,highsenatra,378,446,6.80,0
777,r3s,Dark Water,22,22,0.00,0
779,Schuppenkarpf,Seebucht,5637,5637,0.00,490
780,Biba,Billinghausen,22,22,0.00,0
781,Sasuke4ever,Naruto1,17,17,0.00,0
783,Bomba,Bombenstreichelzoo,1062,1062,0.00,0
784,landser,german force,693,693,0.00,0
785,illusi0n,Möp,665,665,0.00,0
786,DarkAngel3,DarkAngel3,3140,3140,0.00,0
791,Leiche,Transer,2630,2630,0.00,0
792,Tarasque,Kendora,21,21,0.00,0
793,Methos,Emanuela,30,30,0.00,0
794,Strikerkiller,Hendrik Röhl,21,21,0.00,0
796,shadow11,Basis der Schatten,494,494,0.00,0
797,Kevin89,Gera,2461,2463,0.20,0
798,big,@@@@,1072,1072,0.00,0
799,Brian,Krypteria,1932,2584,65.20,0
800,Candy Man,Süßwarenladen,2235,14687,1245.18,0
801,Etonn,EVE,17,17,0.00,0
802,LeonKennedy,Raccon City,235,235,0.00,0
803,sn0wfl4k3,sn0wf4ll,1177,1295,11.80,99
804,Goten,Christoph,38,38,0.00,0
