UBL,NAME,BASIS,AP,GP,KP,PP,08.06.06_00:00
1,TheBunman,koroshiya,1201,1201,0.00,0
2,MasterKe,ChroKaSa,3328,3328,0.00,0
3,deepdarkdusk,KsudKradPeed,25556,26376,82.00,20882
4,Hazelord,Ogdenville,94800,120352,2555.18,19389
5,Luke likes lemon,Der Kindergarten,13297,16064,276.69,8176
6,Mampf,Suppenkueche,22136,23111,97.50,36167
7,Cartman,Cartman`s Home,22966,61455,3848.95,12508
8,Bambam,Knüppelkiste,29032,34844,581.20,7187
9,FhearFux,home of the wise guys,67172,124828,5765.57,20375
10, Kenny,Kenny`s Home,22629,34452,1182.25,17743
13,duress,duress,14433,31015,1658.15,1392
17,MrCari,Gratkorn,86515,86710,19.45,13345
18,Cailleach,Tehuan,58265,59383,111.80,18376
19,Stan,Stan`s Base,21064,45704,2464.00,11493
20,Capere,Capere,7176,17162,998.60,0
25,Save-Basis,Alpha,0,0,0.00,0
26,Orlan,Plasmania,44501,55700,1119.95,47063
27,hanzdooom,Swamp,26856,67762,4090.68,3778
30,molocho,schnapsladen,36069,47714,1164.50,5617
32,araneae,Barad Dur,20383,20883,50.00,6855
37,asdf,beat,15410,40953,2554.35,1117
42,wkwen,GSG9-Base,16601,16601,0.00,4621
54,Casanunda,TCX33897,14119,21601,748.20,0
61,div0sidekick,sidekick,22824,22824,0.00,9805
65,Murx,Surf,67119,128391,6127.24,17061
67,DonCarlos,uwe_headquarter,19349,20024,67.50,27525
68,General Hammer,Wursthausen,58248,95921,3767.28,127071
86,test,cool,9576,35800,2622.40,2000
96,g0a,bash,35968,81620,4565.11,33569
97,camper,camper´s haus,11985,12749,76.40,6137
120,Thomas92,Anfänger,3387,3468,8.10,0
153,Grammophon,Vinyl,12215,20833,861.80,0
157,NoWayKnight,Tank-Shop (MH 1),58032,58949,91.70,49045
158,Edelborngangster,Edelborn,15616,15616,0.00,0
187,Save-Basis,Beta,0,0,0.00,0
231,aal,Multitudo,3625,3625,0.00,790
232,sleker,schlachtfeld,857,857,0.00,60
234,Wisler,Wislers Basis,18872,18872,0.00,178
237,Snark,Propezia,28962,28962,0.00,11821
244,AntiEngelskrieger,Reich der Onkelz,15496,28012,1251.64,11321
250,Tivoyagefreak,Residenthall,26950,26950,0.00,52043
284,Elrad,MyBase,9224,10194,97.00,0
285,BaggerBob89,Reich der Onkelz,12863,12863,0.00,2845
289,schweineschwabe,burladingen,16706,16706,0.00,0
292,Steiner1,Bunker der ausergewöhnlichen Kämpfer,5016,5186,17.00,0
300,fermin,fermin,5292,5292,0.00,1625
